OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1512,1721,0,1721,4,6969599.8380127,10559.9998773336
1513,1107,0,1107,3,6969599.8380127,10559.9998773336
1514,2624,0,2624,2,6969599.8380127,10559.9998773336
1515,1173,0,1173,2,6969599.83813477,10559.9998773336
1516,876,0,876,5,6969600.70422363,10560.0005334914
1517,2246,0,2246,3,6969599.8380127,10559.9998773336
1518,819,0,819,4,6969599.8380127,10559.9998773336
1519,2074,0,2074,5,6969599.8380127,10559.9998773336
1520,1585,0,1585,3,6969599.8380127,10559.9998773336
1521,2739,0,2739,2,6969599.8380127,10559.9998773336
1522,1894,0,1894,2,6969600.70422363,10560.0005334914
1523,1564,0,1564,5,6969600.70422363,10560.0005334914
1524,1522,0,1522,1,6969600.70422363,10560.0005334914
1525,2245,0,2245,1,6969599.83813477,10559.9998773336
1526,1980,0,1980,3,6969599.83813477,10559.9998773336
1527,1428,0,1428,4,6969599.8380127,10559.9998773336
1528,1184,0,1184,4,6969599.8380127,10559.9998773336
1529,2357,0,2357,3,6969599.83813477,10559.9998773336
1530,1827,0,1827,3,6969599.83813477,10559.9998773336
1531,847,0,847,5,6969599.83813477,10559.9998773336
1532,2292,0,2292,1,6969599.83813477,10559.9998773336
1533,1654,0,1654,2,6969599.8380127,10559.9998773336
1534,1820,0,1820,0,6969599.8380127,10559.9998773336
1535,2121,0,2121,4,6969599.83813477,10559.9998773336
1536,2706,0,2706,3,6969600.70422363,10560.0005334914
1537,642,0,642,3,6969599.83813477,10559.9998773336
1538,2517,0,2517,4,6969599.8380127,10559.9998773336
1539,141,0,141,4,6969599.83813477,10559.9998773336
1540,949,0,949,2,6969600.70422363,10560.0005334914
1541,3092,0,3092,4,6969599.83813477,10559.9998773336
1542,1868,0,1868,2,6969599.83813477,10559.9998773336
1543,1667,0,1667,2,6969599.83813477,10559.9998773336
1544,582,0,582,3,6969599.83813477,10559.9998773336
1545,1174,0,1174,2,6969599.83813477,10559.9998773336
1546,2799,0,2799,0,6969600.70422363,10560.0005334914
1547,1192,0,1192,4,6969599.8380127,10559.9998773336
1548,1992,0,1992,2,6969599.8380127,10559.9998773336
1549,1542,0,1542,3,6969600.70422363,10560.0005334914
1550,2643,0,2643,3,6969599.8380127,10559.9998773336
1551,1006,0,1006,0,6969599.83813477,10559.9998773336
1552,1288,0,1288,2,6969599.83813477,10559.9998773336
1553,3563,0,3563,3,6969599.83813477,10559.9998773336
1554,2345,0,2345,4,6969599.83813477,10559.9998773336
